Nodes,id,Label,log,lat
Ageb 1,1,Ageb 1,-110.9858,29.1642
Ageb 2,2,Ageb 2,-111.0368,29.1151
Ageb 3,3,Ageb 3,-110.9863,29.1659
Ageb 4,4,Ageb 4,-111.0346,29.1089
Ageb 5,5,Ageb 5,-110.999,29.0493
Ageb 6,6,Ageb 6,-111.0217,29.1355
Ageb 7,7,Ageb 7,-110.9203,29.1088
Ageb 8,8,Ageb 8,-110.9657,29.0239
Ageb 9,9,Ageb 9,-111.0193,29.1563
Ageb 10,10,Ageb 10,-110.9865,29.1677
Ageb 11,11,Ageb 11,-110.9945,29.0609
Ageb 12,12,Ageb 12,-110.9079,28.9969
Ageb 13,13,Ageb 13,-111.0333,29.1121
Ageb 14,14,Ageb 14,-110.9316,29.0732
Ageb 15,15,Ageb 15,-110.9288,29.0889
Ageb 16,16,Ageb 16,-110.9262,29.0831
Ageb 17,17,Ageb 17,-110.9316,29.0821
Ageb 18,18,Ageb 18,-110.9222,29.0048
Ageb 19,19,Ageb 19,-110.9836,29.0166
Ageb 20,20,Ageb 20,-111.0049,29.0539
Ageb 21,21,Ageb 21,-111.0095,29.0648
Ageb 22,22,Ageb 22,-111.0065,29.0645
Ageb 23,23,Ageb 23,-110.9984,29.0665
Ageb 24,24,Ageb 24,-111.0447,29.113
Ageb 25,25,Ageb 25,-111.0412,29.1179
Ageb 26,26,Ageb 26,-111.0306,29.1485
Ageb 27,27,Ageb 27,-111.0275,29.1495
Ageb 28,28,Ageb 28,-110.9472,29.0037
Ageb 29,29,Ageb 29,-110.9236,29.0017
Ageb 30,30,Ageb 30,-110.945,29.1285
Ageb 31,31,Ageb 31,-110.9469,29.0024
Ageb 32,32,Ageb 32,-111.0112,29.0544
Ageb 33,33,Ageb 33,-110.9954,29.0553
Ageb 34,34,Ageb 34,-110.9914,29.0619
Ageb 35,35,Ageb 35,-111.005,29.1512
Ageb 36,36,Ageb 36,-110.9229,29.0904
Ageb 37,37,Ageb 37,-110.9626,29.0164
Ageb 38,38,Ageb 38,-111.0043,29.1102
Ageb 39,39,Ageb 39,-110.9684,29.0767
Ageb 40,40,Ageb 40,-110.9427,29.1029
Ageb 41,41,Ageb 41,-110.9368,29.1021
Ageb 42,42,Ageb 42,-110.9448,29.0255
Ageb 43,43,Ageb 43,-110.9204,29.001
Ageb 44,44,Ageb 44,-110.9468,28.9934
Ageb 45,45,Ageb 45,-110.9443,29.0056
Ageb 46,46,Ageb 46,-110.9449,29.0129
Ageb 47,47,Ageb 47,-110.9457,29.02
Ageb 48,48,Ageb 48,-110.9634,29.0225
Ageb 49,49,Ageb 49,-110.9714,29.0268
Ageb 50,50,Ageb 50,-111.0001,29.0455
Ageb 51,51,Ageb 51,-110.9964,29.0589
Ageb 52,52,Ageb 52,-110.9995,29.0594
Ageb 53,53,Ageb 53,-111.0095,29.0602
Ageb 54,54,Ageb 54,-110.9873,29.0281
Ageb 55,55,Ageb 55,-111.0091,29.0518
Ageb 56,56,Ageb 56,-111.021,29.0802
Ageb 57,57,Ageb 57,-111.0375,29.1236
Ageb 58,58,Ageb 58,-111.0268,29.1106
Ageb 59,59,Ageb 59,-111.029,29.0807
Ageb 60,60,Ageb 60,-110.9234,28.9999
Ageb 61,61,Ageb 61,-110.9944,29.0331
Ageb 62,62,Ageb 62,-111.0032,29.0325
Ageb 63,63,Ageb 63,-111.018,29.1613
Ageb 64,64,Ageb 64,-111.0229,29.1682
Ageb 65,65,Ageb 65,-111.0172,29.1691
Ageb 66,66,Ageb 66,-111.011,29.1706
Ageb 67,67,Ageb 67,-111.0047,29.1645
Ageb 68,68,Ageb 68,-110.9569,29.15
Ageb 69,69,Ageb 69,-110.9577,29.0084
Ageb 70,70,Ageb 70,-110.9996,29.0221
Ageb 71,71,Ageb 71,-111,29.0298
Ageb 72,72,Ageb 72,-111.0022,29.0488
Ageb 73,73,Ageb 73,-110.9978,29.0497
Ageb 74,74,Ageb 74,-110.9953,29.05
Ageb 75,75,Ageb 75,-110.9926,29.0561
Ageb 76,76,Ageb 76,-110.9993,29.0552
Ageb 77,77,Ageb 77,-111.0508,29.1034
Ageb 78,78,Ageb 78,-111.0276,29.0558
Ageb 79,79,Ageb 79,-111.0459,29.1181
Ageb 80,80,Ageb 80,-111.0494,29.1213
Ageb 81,81,Ageb 81,-111.0449,29.1361
Ageb 82,82,Ageb 82,-111.06,29.132
Ageb 83,83,Ageb 83,-111.0686,29.1401
Ageb 84,84,Ageb 84,-111.0403,29.0773
Ageb 85,85,Ageb 85,-110.9747,29.1578
Ageb 86,86,Ageb 86,-110.9748,29.1565
Ageb 87,87,Ageb 87,-110.9602,29.1487
Ageb 88,88,Ageb 88,-110.9573,29.1483
Ageb 89,89,Ageb 89,-110.9594,29.1511
Ageb 90,90,Ageb 90,-110.9556,29.1527
Ageb 91,91,Ageb 91,-111.0229,29.175
Ageb 92,92,Ageb 92,-111.0449,29.1096
Ageb 93,93,Ageb 93,-111.0464,29.1068
Ageb 94,94,Ageb 94,-111.0501,29.1369
Ageb 95,95,Ageb 95,-111.0506,29.1395
Ageb 96,96,Ageb 96,-110.9895,29.1667
Ageb 97,97,Ageb 97,-110.9809,29.1616
Ageb 98,98,Ageb 98,-111.0211,29.1652
Ageb 99,99,Ageb 99,-111.0175,29.1661
Ageb 100,100,Ageb 100,-111.0196,29.1681
Ageb 101,101,Ageb 101,-111.0251,29.0611
Ageb 102,102,Ageb 102,-110.922,29.0024
Ageb 103,103,Ageb 103,-110.977,29.1325
Ageb 104,104,Ageb 104,-110.9845,29.0204
Ageb 105,105,Ageb 105,-111.0332,29.1427
Ageb 106,106,Ageb 106,-110.9718,29.0169
Ageb 107,107,Ageb 107,-111.0461,29.136
Ageb 108,108,Ageb 108,-110.981,29.1643
